id,respuesta,servicio_monitoreado,reportada,time_log
103,1,sensorVigilant1,0,2022-09-11 22:07:10.072068
104,1,sensorVigilant1,0,2022-09-11 22:07:11.184143
105,0,SensorVigilant1,1,2022-09-11 22:07:12.294474
106,1,sensorVigilant1,0,2022-09-11 22:07:13.462135
107,1,sensorVigilant1,0,2022-09-11 22:07:14.585916
108,1,sensorVigilant1,0,2022-09-11 22:07:15.717565
109,1,sensorVigilant1,0,2022-09-11 22:07:16.850653
110,0,SensorVigilant1,1,2022-09-11 22:07:17.972792
111,1,sensorVigilant1,0,2022-09-11 22:07:19.106988
112,1,sensorVigilant1,0,2022-09-11 22:07:20.239628
113,0,SensorVigilant1,1,2022-09-11 22:07:21.385507
114,0,SensorVigilant1,1,2022-09-11 22:07:22.540164
115,1,sensorVigilant1,0,2022-09-11 22:07:23.652505
116,1,sensorVigilant1,0,2022-09-11 22:07:24.806310
117,1,sensorVigilant1,0,2022-09-11 22:07:25.940363
118,1,sensorVigilant1,0,2022-09-11 22:07:27.050997
119,1,sensorVigilant1,0,2022-09-11 22:07:28.207161
120,1,sensorVigilant1,0,2022-09-11 22:07:29.328181
121,0,SensorVigilant1,1,2022-09-11 22:07:30.461582
122,0,SensorVigilant1,1,2022-09-11 22:07:31.596978
123,1,sensorVigilant1,0,2022-09-11 22:07:32.727864
124,1,sensorVigilant1,0,2022-09-11 22:07:33.850423
125,1,sensorVigilant1,0,2022-09-11 22:07:35.009424
126,0,SensorVigilant1,1,2022-09-11 22:07:36.145761
127,0,SensorVigilant1,1,2022-09-11 22:07:37.283557
128,1,sensorVigilant1,0,2022-09-11 22:07:38.423735
129,1,sensorVigilant1,0,2022-09-11 22:07:39.574201
130,0,SensorVigilant1,1,2022-09-11 22:07:40.706511
131,1,sensorVigilant1,0,2022-09-11 22:07:41.844997
132,1,sensorVigilant1,0,2022-09-11 22:07:42.975852
133,1,sensorVigilant1,0,2022-09-11 22:07:44.200628
134,1,sensorVigilant1,0,2022-09-11 22:07:45.329842
135,1,sensorVigilant1,0,2022-09-11 22:07:46.462974
136,1,sensorVigilant1,0,2022-09-11 22:07:47.608866
137,1,sensorVigilant1,0,2022-09-11 22:07:48.729556
138,1,sensorVigilant1,0,2022-09-11 22:07:49.840916
139,1,sensorVigilant1,0,2022-09-11 22:07:50.973356
140,1,sensorVigilant1,0,2022-09-11 22:07:52.107248
141,1,sensorVigilant1,0,2022-09-11 22:07:53.250718
142,0,SensorVigilant1,1,2022-09-11 22:07:54.385293
143,1,sensorVigilant1,0,2022-09-11 22:07:55.562035
144,0,SensorVigilant1,1,2022-09-11 22:07:56.696757
145,1,sensorVigilant1,0,2022-09-11 22:07:57.808864
146,1,sensorVigilant1,0,2022-09-11 22:07:58.920811
147,0,SensorVigilant1,1,2022-09-11 22:08:00.062983
148,1,sensorVigilant1,0,2022-09-11 22:08:01.174109
149,1,sensorVigilant1,0,2022-09-11 22:08:02.423656
150,1,sensorVigilant1,0,2022-09-11 22:08:03.540771
151,1,sensorVigilant1,0,2022-09-11 22:08:04.684950
152,0,SensorVigilant1,0,2022-09-11 22:08:05.818454
153,0,SensorVigilant1,0,2022-09-11 22:08:06.965374
