id,respuesta,servicio_monitoreado,reportada,time_log
1,1,sensorVigilant1,0,2022-09-11 22:12:12.701717
2,1,sensorVigilant1,0,2022-09-11 22:12:13.831730
3,1,sensorVigilant1,0,2022-09-11 22:12:14.950003
4,1,sensorVigilant1,0,2022-09-11 22:12:16.084581
5,1,sensorVigilant1,0,2022-09-11 22:12:17.216068
6,1,sensorVigilant1,0,2022-09-11 22:12:18.338592
7,1,sensorVigilant1,0,2022-09-11 22:12:19.483975
8,1,sensorVigilant1,0,2022-09-11 22:12:20.637703
9,1,sensorVigilant1,0,2022-09-11 22:12:21.746783
10,1,sensorVigilant1,0,2022-09-11 22:12:22.921886
11,1,sensorVigilant1,0,2022-09-11 22:12:24.064119
12,1,sensorVigilant1,0,2022-09-11 22:12:25.184285
13,1,sensorVigilant1,0,2022-09-11 22:12:26.327557
14,1,sensorVigilant1,0,2022-09-11 22:12:27.483671
15,1,sensorVigilant1,0,2022-09-11 22:12:28.613886
16,1,sensorVigilant1,0,2022-09-11 22:12:29.739081
17,1,sensorVigilant1,0,2022-09-11 22:12:30.888152
18,1,sensorVigilant1,0,2022-09-11 22:12:32.005678
19,1,sensorVigilant1,0,2022-09-11 22:12:33.134697
20,1,sensorVigilant1,0,2022-09-11 22:12:34.306279
21,1,sensorVigilant1,0,2022-09-11 22:12:35.451029
22,1,sensorVigilant1,0,2022-09-11 22:12:36.616644
23,1,sensorVigilant1,0,2022-09-11 22:12:37.750850
24,1,sensorVigilant1,0,2022-09-11 22:12:38.874791
25,1,sensorVigilant1,0,2022-09-11 22:12:40.007200
26,1,sensorVigilant1,0,2022-09-11 22:12:41.139279
27,1,sensorVigilant1,0,2022-09-11 22:12:42.261849
28,1,sensorVigilant1,0,2022-09-11 22:12:43.384723
29,1,sensorVigilant1,0,2022-09-11 22:12:44.584271
30,1,sensorVigilant1,0,2022-09-11 22:12:45.749993
31,1,sensorVigilant1,0,2022-09-11 22:12:46.861951
32,1,sensorVigilant1,0,2022-09-11 22:12:47.984405
33,1,sensorVigilant1,0,2022-09-11 22:12:49.119027
34,1,sensorVigilant1,0,2022-09-11 22:12:50.262185
35,1,sensorVigilant1,0,2022-09-11 22:12:51.407054
36,1,sensorVigilant1,0,2022-09-11 22:12:52.517201
37,1,sensorVigilant1,0,2022-09-11 22:12:53.662749
38,1,sensorVigilant1,0,2022-09-11 22:12:54.796863
39,1,sensorVigilant1,0,2022-09-11 22:12:55.906873
40,1,sensorVigilant1,0,2022-09-11 22:12:57.029894
41,1,sensorVigilant1,0,2022-09-11 22:12:58.151228
42,1,sensorVigilant1,0,2022-09-11 22:12:59.317654
43,1,sensorVigilant1,0,2022-09-11 22:13:00.458060
44,1,sensorVigilant1,0,2022-09-11 22:13:01.591719
45,1,sensorVigilant1,0,2022-09-11 22:13:02.757275
46,1,sensorVigilant1,0,2022-09-11 22:13:03.896477
47,1,sensorVigilant1,0,2022-09-11 22:13:05.057589
48,1,sensorVigilant1,0,2022-09-11 22:13:06.219762
49,1,sensorVigilant1,0,2022-09-11 22:13:07.357925
50,1,sensorVigilant1,0,2022-09-11 22:13:08.474751
51,1,sensorVigilant1,0,2022-09-11 22:13:09.633078
52,1,sensorVigilant1,0,2022-09-11 22:13:10.774699
